ObsID,NH3 Time,CM1,CM2,CM3,Telescope,FL,Camera,Seeing,Transparency,CH4 Abs / PCloud,CH4 Qual,NH3 Abs / fc(NH3),NH3Qual,RGB Context
20231206UTb,2023-12-06_03:30:12,43.7,296.5,342.9,C11,5600mm,ASI120MM,'U/10','U/10',2023-12-06-0330_2-Jupiter_R656G620B632-RGB-WhtBal,1,2023-12-06-0330_2-Jupiter_R656G647B632-RGB-WhtBal,1,2023-12-06-0343_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231207UTa,2023-12-07_02:48:18,176.0,61.5,108.2,C11,5600mm,ASI120MM,'U/10','U/10',2023-12-07-0248_4-Jupiter_R656G620B632-RGB-WhtBal,1,2023-12-07-0248_3-Jupiter_R656G647B632-RGB-WhtBal,1,2023-12-07-0302_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231207UTb,2023-12-07_03:14:48,192.2,77.5,124.2,C11,5600mm,ASI120MM,'U/10','U/10',2023-12-07-0314_8-Jupiter_R656G620B632-RGB-WhtBal,1,2023-12-07-0314_8-Jupiter_R656G647B632-RGB-WhtBal,1,2023-12-07-0328_5-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231207UTc,2023-12-07_03:43:42,209.8,95.0,141.7,C11,5600mm,ASI120MM,'U/10','U/10',2023-12-07-0343_7-Jupiter_R656G620B632-RGB-WhtBal,1,2023-12-07-0343_7-Jupiter_R656G647B632-RGB-WhtBal,1,2023-12-07-0400_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231217UTa,2023-12-17_01:36:12,271.1,80.6,129.9,C11,5600mm,ASI120MM,'8/10','8/10',2023-12-17-0136_2-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-17-0136_2-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-17-0148_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231217UTb,2023-12-17_02:01:36,286.5,96.0,145.3,C11,5600mm,ASI120MM,'8/10','8/10',2023-12-17-0201_7-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-17-0201_6-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-17-0215_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231217UTc,2023-12-17_02:28:12,302.8,112.0,161.3,C11,5600mm,ASI120MM,'8/10','8/10',2023-12-17-0228_2-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-17-0228_2-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-17-0240_5-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231218UTa,2023-12-18_00:00:36,10.7,173.1,222.6,C11,5600mm,ASI120MM,'6/10','8/10',2023-12-17-2359_9-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-18-0000_6-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-18-0017_8-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231218UTb,2023-12-18_01:22:36,60.6,222.6,272.2,C11,5600mm,ASI120MM,'9/10','8/10',2023-12-18-0122_6-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-18-0122_6-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-18-0134_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231218UTc,2023-12-18_02:21:24,96.5,258.2,307.7,C11,5600mm,ASI120MM,'9/10','8/10',2023-12-18-0221_4-Jupiter_R656G620B632-RGB-Smth-WthBal,1,2023-12-18-0221_4-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-18-0235_5-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231218UTd,2023-12-18_03:12:54,127.9,289.3,338.9,C11,5600mm,ASI120MM,'7/10','8/10',2023-12-18-0312_8-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-18-0312_9-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-18-0327_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231218UTe,2023-12-18_04:16:24,166.6,327.7,17.3,C11,5600mm,ASI120MM,'7/10','8/10',2023-12-18-0416_4-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-18-0416_4-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-18-0430_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231218UTf,2023-12-18_05:13:06,201.2,1.9,51.5,C11,5600mm,ASI120MM,'7/10','8/10',2023-12-18-0513_1-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-18-0513_1-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-18-0527_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231229UTa,2023-12-29_00:48:00,335.9,54.1,106.6,C11,5600mm,ASI120MM,'U/10','u/10',2023-12-29-0048_0-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-29-0048_0-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-29-0104_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231229UTb,2023-12-29_02:07:00,24.0,101.9,154.4,C11,5600mm,ASI120MM,'U/10','u/10',2023-12-29-0207_0-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-29-0207_0-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-29-0220_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231229UTc,2023-12-29_03:35:48,78.2,155.6,208.1,C11,5600mm,ASI120MM,'U/10','u/10',2023-12-29-0335_7-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-12-29-0335_8-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-12-29-0352_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240129UTa,2024-01-29_02:07:00,235.0,76.3,137.0,C11,5600mm,ASI120MM,'6/10','8/10',2024-01-29-0207_0-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-01-29-0207_0-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-01-29-0223_3-Jupiter_R685G550B450-RGB-ClrSmth-WthBal-WV
20240129UTb,2024-01-29_02:35:36,252.4,93.6,154.3,C11,5600mm,ASI120MM,'6/10','8/10',2024-01-29-0235_6-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-01-29-0235_6-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-01-29-0248_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240130UTa,2024-01-30_01:17:06,2.3,196.2,257.2,C11,5600mm,ASI120MM,'8/10','8/10',2024-01-30-0117_1-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-01-30-0117_1-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-01-30-0131_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240130UTb,2024-01-30_02:48:00,57.7,251.2,312.2,C11,5600mm,ASI120MM,'8/10','8/10',2024-01-30-0248_0-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-01-30-0248_0-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-01-30-0306_4-Jupiter_R685G550B450-DR-ST-RGB-ClrSmth-WhtBal-WV
20240130UTc,2024-01-30_03:22:06,78.5,271.8,332.8,C11,5600mm,ASI120MM,'8/10','8/10',2024-01-30-0322_1-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-01-30-0322_1-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-01-30-0334_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240131UTa,2024-01-31_02:22:30,199.9,25.9,87.1,C11,5600mm,ASI120MM,'8/10','8/10',2024-01-31-0222_5-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-01-31-0222_5-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-01-31-0236_3-Jupiter_R685G550B450-RGB-ClrSmthWhtBal-WV
20240131UTb,2024-01-31_02:49:06,216.1,41.9,103.2,C11,5600mm,ASI120MM,'8/10','8/10',2024-01-31-0249_1-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-01-31-0249_1-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-01-31-0302_3-Jupiter_R685G550B450-RGB-ClrSmthWhtBal-WV
20240202UTa,2024-02-02_02:17:06,152.0,322.8,24.6,C11,5600mm,ASI120MM,'8/10','8/10',2024-02-02-0217_1-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-02-02-0217_1-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-02-02-0229_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240202UTb,2024-02-02_03:19:30,190.0,0.5,62.3,C11,5600mm,ASI120MM,'8/10','8/10',2024-02-02-0319_5-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-02-02-0319_5-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-02-02-0334_8-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240220UTa,2024-02-20_01:34:24,84.5,118.1,184.7,C11,5600mm,ASI120MM,'8/10','8/10',2024-02-20-0134_3-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-02-20-0134_4-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-02-20-0148_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240220UTb,2024-02-20_02:00:36,100.5,134.0,200.6,C11,5600mm,ASI120MM,'8/10','8/10',2024-02-20-0200_7-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-02-20-0200_6-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-02-20-0214_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240229UTa,2024-02-29_02:03:12,81.1,45.9,114.9,C11,5600mm,ASI120MM,'8/10','8/10',2024-02-29-0203_5-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-02-29-0203_2-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-02-29-0216_9-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240229UTb,2024-02-29_02:29:06,96.9,61.6,130.6,C11,5600mm,ASI120MM,'8/10','8/10',2024-02-29-0229_1-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-02-29-0229_1-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-02-29-0241_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240301UTa,2024-03-01_01:54:00,233.1,190.4,259.7,C11,5600mm,ASI120MM,'8/10','8/10',2024-03-01-0154_0-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-03-01-0154_0-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-03-01-0207_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240301UTb,2024-03-01_02:20:00,249.0,206.1,275.4,C11,5600mm,ASI120MM,'8/10','8/10',2024-03-01-0220_0-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-03-01-0220_0-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-03-01-0232_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240919UTb,2024-09-19_10:55:48,23.7,236.9,359.9,C11,5600mm,ASI120MM,'6/10','9/10',2024-09-19-1055_8-Jupiter_R656G620B632-RGB-WhtBal-Smth,1,2024-09-19-1055_8-Jupiter_R656G647B632-RGB-WhtBal-Smth,1,2024-09-19-1111_7-Jupiter_R685G550B450-RGB-Smth-WhtBal-WV-WV
20240919UTc,2024-09-19_11:27:24,43.0,256.0,19.0,C11,5600mm,ASI120MM,'6/10','9/10',2024-09-19-1127_4-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2024-09-19-1127_4-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2024-09-19-1140_4-Jupiter_R685G550B450-RGB-Smth-WhtBal-WV
20240925UTb,2024-09-25_11:27:00,270.3,77.4,202.1,C11,5600mm,ASI120MM,'8/10','8/10',2024-09-25-1127_0-Jupiter_R656G620B632-RGB-WhtBal,1,2024-09-25-1127_0-Jupiter_R656G647B632-RGB-WhtBal,1,2024-09-25-1144_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240925UTc,2024-09-25_11:58:30,289.5,96.5,221.2,C11,5600mm,ASI120MM,'8/10','8/10',2024-09-25-1158_5-Jupiter_R656G620B632-RGB-WhtBal,1,2024-09-25-1158_5-Jupiter_R656G647B632-RGB-WhtBal,1,2024-09-25-1211_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240926UTa,2024-09-26_11:10:54,58.4,218.0,342.9,C11,5600mm,ASI120MM,'8/10','8/10',2024-09-26-1110_9-Jupiter_R656G620B632-RGB-WhtBal,1,2024-09-26-1110_9-Jupiter_R656G647B632-RGB-WhtBal,1,2024-09-26-1121_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240926UTb,2024-09-26_11:36:18,73.9,233.4,358.3,C11,5600mm,ASI120MM,'8/10','8/10',2024-09-26-1136_3-Jupiter_R656G620B632-RGB-WhtBal,1,2024-09-26-1136_3-Jupiter_R656G647B632-RGB-WhtBal,1,2024-09-26-1147_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240929UTa,2024-09-29_11:21:42,178.8,315.4,81.2,C11,5600mm,ASI120MM,'9/10','8/10',2024-09-29-1121_7-Jupiter_R656G620B632-RGB-WhtBal,1,2024-09-29-1121_7-Jupiter_R656G647B632-RGB-WhtBal,1,2024-09-29-1135_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20240929UTb,2024-09-29_11:55:18,199.3,335.7,101.5,C11,5600mm,ASI120MM,'9/10','8/10',2024-09-29-1155_4-Jupiter_R656G620B632-RGB-WhtBal,1,2024-09-29-1155_3-Jupiter_R656G647B632-RGB-WhtBal,1,2024-09-29-1208_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241002UTa,2024-10-02_11:34:24,300.3,54.0,180.6,C11,5600mm,ASI120MM,'4/10','8/10',2024-10-02-1134_4-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-02-1134_4-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-02-1159_9-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241002UTb,2024-10-02_12:12:00,323.3,76.8,203.3,C11,5600mm,ASI120MM,'3/10','8/10',2024-10-02-1212_0-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-02-1212_0-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-02-1224_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241006UTa,2024-10-06_06:38:42,31.9,116.6,244.2,C11,5600mm,ASI120MM,'6/10','8/10',2024-10-06-0638_6-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-06-0638_7-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-06-0650_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241006UTb,2024-10-06_07:02:12,46.2,130.8,258.4,C11,5600mm,ASI120MM,'6/10','8/10',2024-10-06-0702_2-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-06-0702_2-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-06-0716_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241007UTa,2024-10-07_11:45:30,16.9,92.4,220.2,C11,5600mm,ASI120MM,'6/10','8/10',2024-10-07-1145_5-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-07-1145_5-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-07-1201_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241007UTb,2024-10-07_12:13:36,34.0,109.3,237.2,C11,5600mm,ASI120MM,'6/10','8/10',2024-10-07-1213_6-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-07-1213_6-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-07-1225_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241008UTa,2024-10-08_11:41:00,172.1,240.0,8.1,C11,5600mm,ASI120MM,'U','8/10',2024-10-08-1141_0-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-08-1141_0-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-08-1153_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241008UTb,2024-10-08_12:05:24,187.0,254.7,22.9,C11,5600mm,ASI120MM,'U','8/10',2024-10-08-1205_4-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-08-1205_4-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-08-1218_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241009UTb,2024-10-09_11:50:18,335.7,35.9,164.3,C11,5600mm,ASI120MM,'9/10','8/10',2024-10-09-1150_3-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-09-1150_3-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-09-1202_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241009UTc,2024-10-09_12:14:00,350.2,50.2,178.7,C11,5600mm,ASI120MM,'9/10','8/10',2024-10-09-1214_1-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-09-1214_0-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-09-1225_9-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241010UTa,2024-10-10_11:40:06,127.5,180.1,308.8,C11,5600mm,ASI120MM,'U','U',2024-10-10-1140_1-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-10-1140_1-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-10-1152_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241010UTb,2024-10-10_12:01:54,140.7,193.3,321.9,C11,5600mm,ASI120MM,'U','U',2024-10-10-1201_9-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-10-1201_9-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-10-1216_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241014UTa,2024-10-14_12:10:36,57.9,79.9,209.6,C11,5600mm,ASI120MM,'9/10','6/10',2024-10-14-1210_6-Jupiter_R656G620B632-RGB-WhtBal-Flattened,1,2024-10-14-1210_6-Jupiter_R656G647B632-RGB-WhtBal-Flattened,1,2024-10-14-1223_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241014UTb,2024-10-14_12:35:36,73.2,95.0,224.7,C11,5600mm,ASI120MM,'9/10','6/10',2024-10-14-1235_6-Jupiter_R656G620B632-RGB-WhtBal-Flattened,1,2024-10-14-1235_6-Jupiter_R656G647B632-RGB-WhtBal-Flattened,1,2024-10-14-1248_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241016UTa,2024-10-16_12:06:48,11.6,18.3,148.5,C11,5600mm,ASI120MM,'9/10','6/10',2024-10-16-1206_8-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-16-1206_8-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-16-1219_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241016UTb,2024-10-16_12:34:24,28.4,35.0,165.2,C11,5600mm,ASI120MM,'9/10','6/10',2024-10-16-1234_4-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-16-1234_4-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-16-1248_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241016UTc,2024-10-16_12:29:36,25.5,32.1,162.3,C11,5600mm,ASI120MM,'9/10','6/10',2024-10-16-1228_8-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-16-1229_6-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-16-1219_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241022UTa,2024-10-22_11:48:30,228.3,189.3,321.2,C11,5600mm,ASI120MM,'9/10','6/10',2024-10-22-1148_5-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-22-1148_5-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-22-1201_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241022UTb,2024-10-22_12:13:18,243.5,204.3,336.2,C11,5600mm,ASI120MM,'9/10','5/10',2024-10-22-1213_3-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-22-1213_3-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-22-1225_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241023UTa,2024-10-23_04:53:24,133.2,88.8,220.9,C11,5600mm,ASI120MM,'U','U',2024-10-23-0453_4-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-23-0453_4-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-23-0505_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTa,2024-10-27_05:13:06,57.2,342.2,115.3,C11,5600mm,ASI120MM,'U','U',2024-10-27-0513_1-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0513_1-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0523_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTb,2024-10-27_05:34:06,70.0,354.9,128.0,C11,5600mm,ASI120MM,'U','U',2024-10-27-0534_1-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0534_1-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0608_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTc,2024-10-27_05:58:06,84.7,9.4,142.5,C11,5600mm,ASI120MM,'U','U',2024-10-27-0558_1-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0558_1-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0608_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTd,2024-10-27_06:19:06,97.5,22.1,155.2,C11,5600mm,ASI120MM,'U','U',2024-10-27-0619_0-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0619_1-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0629_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTe,2024-10-27_06:50:42,116.8,41.2,174.3,C11,5600mm,ASI120MM,'U','U',2024-10-27-0650_8-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0650_7-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0701_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTf,2024-10-27_07:11:42,129.6,53.9,187.0,C11,5600mm,ASI120MM,'U','U',2024-10-27-0711_7-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0711_7-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0722_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTg,2024-10-27_07:46:48,151.0,75.1,208.3,C11,5600mm,ASI120MM,'U','U',2024-10-27-0746_8-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0746_8-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0757_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTh,2024-10-27_08:07:48,163.8,87.8,221.0,C11,5600mm,ASI120MM,'U','U',2024-10-27-0807_8-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0807_8-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0818_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTi,2024-10-27_08:49:18,189.1,112.9,246.0,C11,5600mm,ASI120MM,'U','U',2024-10-27-0849_3-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0849_3-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0859_8-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241027UTj,2024-10-27_09:10:18,201.9,125.6,258.7,C11,5600mm,ASI120MM,'U','U',2024-10-27-0910_3-Jupiter_R656G620B632-RGB-WhtBal,1,2024-10-27-0910_3-Jupiter_R656G647B632-RGB-WhtBal,1,2024-10-27-0920_8-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTa,2024-11-05_04:41:36,20.2,236.6,12.1,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0441_6-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0441_6-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0452_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTb,2024-11-05_05:12:30,39.0,255.3,30.8,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0512_5-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0512_5-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0523_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTc,2024-11-05_05:43:24,57.8,274.0,49.5,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0543_4-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0543_4-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0553_9-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTd,2024-11-05_06:14:18,76.7,292.6,68.2,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0614_3-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0614_3-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0624_8-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTe,2024-11-05_06:45:12,95.5,311.3,86.9,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0645_2-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0645_2-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0655_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTf,2024-11-05_07:16:06,114.4,330.0,105.5,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0716_2-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0716_1-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0726_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTg,2024-11-05_07:47:06,133.3,348.7,124.3,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0747_0-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0747_1-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0757_5-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTh,2024-11-05_08:18:00,152.1,7.4,143.0,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0818_0-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0818_0-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0828_5-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20241105UTi,2024-11-05_08:48:54,170.9,26.1,161.6,C11,5600mm,ASI120MM,'9/10','8/10',2024-11-05-0848_9-Jupiter_R656G620B632-RGB-WhtBal,1,2024-11-05-0848_9-Jupiter_R656G647B632-RGB-WhtBal,1,2024-11-05-0859_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
